Temperature,Relative Humidity,Radiation, Site, Nitrogen, Potasium, Calcium, Suitability
Tmpr, RH, Rad, Site, N, P, K, Stbl
10,5,0.5,A,62,25,55,Z
10,5,0.75,B,66,17.5,22.5,G
10,5,1,A,70,10,70,G
10,5,1.25,A,74,2.5,77.5,G
10,5,1.5,C,78,-5,155,Z
10,6,0.5,A,60.8,30,55,Z
10,6,0.75,B,64.8,22.5,22.5,Z
10,6,1,C,68.8,15,105,G
10,6,1.25,A,72.8,7.5,77.5,G
10,6,1.5,C,76.8,0,155,G
10,7,0.5,C,59.6,35,55,Z
10,7,0.75,C,63.6,27.5,80,Z
10,7,1,C,67.6,20,105,G
10,7,1.25,C,71.6,12.5,130,G
10,7,1.5,B,75.6,5,60,G
10,8,0.5,B,58.4,40,10,Z
10,8,0.75,C,62.4,32.5,80,Z
10,8,1,B,66.4,25,35,Z
10,8,1.25,A,70.4,17.5,77.5,G
10,8,1.5,A,74.4,10,85,G
10,9,0.5,B,57.2,45,10,Z
10,9,0.75,B,61.2,37.5,22.5,Z
10,9,1,B,65.2,30,35,Z
10,9,1.25,A,69.2,22.5,77.5,Z
10,9,1.5,B,73.2,15,60,G
10,10,0.5,C,56,50,55,Z
10,10,0.75,C,60,42.5,80,Z
10,10,1,B,64,35,35,Z
10,10,1.25,B,68,27.5,47.5,Z
10,10,1.5,A,72,20,85,G
15,5,0.5,A,92,32.5,75,Z
15,5,0.75,B,96,25,15,G
15,5,1,B,100,17.5,27.5,G
15,5,1.25,C,104,10,132.5,G
15,5,1.5,C,108,2.5,157.5,G
15,6,0.5,C,90.8,37.5,57.5,Z
15,6,0.75,A,94.8,30,82.5,G
15,6,1,C,98.8,22.5,107.5,G
15,6,1.25,C,102.8,15,132.5,G
15,6,1.5,C,106.8,7.5,157.5,G
15,7,0.5,A,89.6,42.5,75,Z
15,7,0.75,A,93.6,35,82.5,Z
15,7,1,B,97.6,27.5,27.5,G
15,7,1.25,C,101.6,20,132.5,G
15,7,1.5,A,105.6,12.5,105,G
15,8,0.5,B,88.4,47.5,2.5,Z
15,8,0.75,A,92.4,40,82.5,Z
15,8,1,B,96.4,32.5,27.5,Z
15,8,1.25,C,100.4,25,132.5,G
15,8,1.5,A,104.4,17.5,105,G
15,9,0.5,A,87.2,52.5,75,Z
15,9,0.75,B,91.2,45,15,Z
15,9,1,C,95.2,37.5,107.5,Z
15,9,1.25,C,99.2,30,132.5,G
15,9,1.5,B,103.2,22.5,52.5,G
15,10,0.5,B,86,57.5,2.5,Z
15,10,0.75,A,90,50,82.5,Z
15,10,1,C,94,42.5,107.5,Z
15,10,1.25,B,98,35,40,Z
15,10,1.5,C,102,27.5,157.5,G
20,5,0.5,A,122,40,95,Z
20,5,0.75,A,126,32.5,102.5,G
20,5,1,A,130,25,110,G
20,5,1.25,B,134,17.5,32.5,G
20,5,1.5,C,138,10,160,G
20,6,0.5,C,120.8,45,60,Z
20,6,0.75,A,124.8,37.5,102.5,G
20,6,1,A,128.8,30,110,G
20,6,1.25,A,132.8,22.5,117.5,G
20,6,1.5,C,136.8,15,160,G
20,7,0.5,B,119.6,50,-5,Z
20,7,0.75,B,123.6,42.5,7.5,Z
20,7,1,A,127.6,35,110,G
20,7,1.25,C,131.6,27.5,135,G
20,7,1.5,B,135.6,20,45,G
20,8,0.5,C,118.4,55,60,Z
20,8,0.75,C,122.4,47.5,85,Z
20,8,1,B,126.4,40,20,G
20,8,1.25,B,130.4,32.5,32.5,G
20,8,1.5,B,134.4,25,45,G
20,9,0.5,A,117.2,60,95,Z
20,9,0.75,B,121.2,52.5,7.5,Z
20,9,1,C,125.2,45,110,Z
20,9,1.25,A,129.2,37.5,117.5,G
20,9,1.5,B,133.2,30,45,G
20,10,0.5,C,116,65,60,Z
20,10,0.75,A,120,57.5,102.5,Z
20,10,1,A,124,50,110,Z
20,10,1.25,B,128,42.5,32.5,Z
20,10,1.5,A,132,35,125,G
25,5,0.5,A,152,47.5,115,G
25,5,0.75,A,156,40,122.5,G
25,5,1,C,160,32.5,112.5,G
25,5,1.25,B,164,25,25,G
25,5,1.5,C,168,17.5,162.5,G
25,6,0.5,C,150.8,52.5,62.5,Z
25,6,0.75,C,154.8,45,87.5,G
25,6,1,A,158.8,37.5,130,G
25,6,1.25,B,162.8,30,25,G
25,6,1.5,B,166.8,22.5,37.5,G
25,7,0.5,A,149.6,57.5,115,Z
25,7,0.75,A,153.6,50,122.5,G
25,7,1,A,157.6,42.5,130,G
25,7,1.25,A,161.6,35,137.5,G
25,7,1.5,A,165.6,27.5,145,G
25,8,0.5,C,148.4,62.5,62.5,Z
25,8,0.75,C,152.4,55,87.5,Z
25,8,1,A,156.4,47.5,130,G
25,8,1.25,B,160.4,40,25,G
25,8,1.5,C,164.4,32.5,162.5,G
25,9,0.5,B,147.2,67.5,-12.5,Z
25,9,0.75,C,151.2,60,87.5,Z
25,9,1,B,155.2,52.5,12.5,Z
25,9,1.25,A,159.2,45,137.5,G
25,9,1.5,C,163.2,37.5,162.5,G
25,10,0.5,B,146,72.5,-12.5,Z
25,10,0.75,B,150,65,0,Z
25,10,1,B,154,57.5,12.5,Z
25,10,1.25,C,158,50,137.5,G
25,10,1.5,B,162,42.5,37.5,G
30,5,0.5,B,182,55,-20,G
30,5,0.75,C,186,47.5,90,G
30,5,1,A,190,40,150,G
30,5,1.25,A,194,32.5,157.5,G
30,5,1.5,B,198,25,30,G
