Temperature, Relative Humidity, Radiation, Site, Nitrogen, Potasium, Calcium, Suitability
45.0, 9.0, 1.25,  A, 298.311, 78.349, 217.779, G
35.0, 6.0, 0.75,  A, 206.168, 56.610, 163.436, G
20.0, 8.0, 1.5,  B, 128.718, 23.718, 49.662, G
10.0, 6.0, 1.0,  C, 81.645, 15.644, 87.766, G
60.0, 7.0, 1.0,  B, 355.346, 98.490, -25.661, G
45.0, 9.0, 0.75,  A, 280.440, 90.949, 199.635, Z
25.0, 7.0, 1.5,  A, 144.666, 27.121, 152.360, G
20.0, 8.0, 1.0,  B, 119.908, 37.726, 8.843, Z
55.0, 6.0, 1.0,  A, 343.709, 85.674, 239.557, G
20.0, 6.0, 1.5,  C, 124.994, 19.402, 144.866, G
15.0, 10.0, 1.25,  B, 104.031, 36.606, 28.430, Z
60.0, 7.0, 0.5,  A, 352.705, 104.861, 236.198, G
10.0, 9.0, 1.5,  B, 88.361, 18.643, 51.090, G
45.0, 7.0, 0.5,  C, 282.812, 89.402, 78.281, G
40.0, 5.0, 1.25,  B, 254.532, 44.266, 1.301, G
55.0, 6.0, 0.5,  C, 342.823, 101.459, 70.474, G
15.0, 9.0, 0.5,  A, 113.484, 57.325, 84.445, Z
10.0, 8.0, 1.25,  A, 87.529, 23.344, 91.240, G
45.0, 5.0, 1.5,  B, 285.037, 47.383, 16.668, G
10.0, 10.0, 0.5,  C, 103.365, 49.193, 57.994, Z
